MMS ID,Main title,Subject,Place of publication,Date 1,Language original,ie_folders
9919207990101488,L'Afrique équatoriale,KUL #SJ/LH/(6);UDC 911.3 <672> Sociale geografie. Culturele geografie--Frans Equatoriaal Afrika;UDC 908 <672> Heemkunde. Area studies--Frans Equatoriaal Afrika;UDC 910.4 <672> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Frans Equatoriaal Afrika,Paris,1876,,IE53402957
9919257150101488,The personal life of David Livingstone ...,UDC 967 Geschiedenis van Centraal en Equatoriaal Afrika;UDC 910.4 <67> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Equatoriaal en Centraal Afrikaanse Staten. Centraal-Afrika. Midden-Afrika,London,1880,,IE53901526
9919258130101488,Vie et voyages du docteur David Livingstone,"UDC 929 LIVINGSTONE, DAVID Biografie. Genealogie. Heraldiek--LIVINGSTONE, DAVID;UDC 910.4 <67> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Equatoriaal en Centraal Afrikaanse Staten. Centraal-Afrika. Midden-Afrika;UDC 967 Geschiedenis van Centraal en Equatoriaal Afrika",Paris,1882,,IE53911629
9919350240101488,Comment j'ai traversé l'Afrique,UDC 910.4 <67> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Equatoriaal en Centraal Afrikaanse Staten. Centraal-Afrika. Midden-Afrika,Paris,1881,por,IE53907483|IE53909548
9919358180101488,"Voyages de F. Le Vaillant, dans l'intérieur de l'Afrique, par le Cap de Bonne-Espérance.",KUL #SJ/LH/(09);UDC 910.4 <6> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Afrika,Bruxelles;Bruxelles,1840,,IE53578711|IE53579384|IE53580770|IE53581435|IE53582116|IE53582797|IE53583478|IE53584159
9919471630101488,Stanley l'Africain,UDC 967 Geschiedenis van Centraal en Equatoriaal Afrika;UDC 910.4 <67> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Equatoriaal en Centraal Afrikaanse Staten. Centraal-Afrika. Midden-Afrika,Liège,1891,,IE53896811
9919471700101488,Stanley l'Africain,"UDC 929 STANLEY, HENRY MORTON Biografie. Genealogie. Heraldiek--STANLEY, HENRY MORTON;UDC 910.4 <67> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Equatoriaal en Centraal Afrikaanse Staten. Centraal-Afrika. Midden-Afrika",Paris,1895,,IE53861508
9919472930101488,"Through the dark continent; or The sources of the Nile, around the great lakes of equatorial Africa, and down the Livingstone river to the Atlantic ocean.",UDC 910.4 <67> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Equatoriaal en Centraal Afrikaanse Staten. Centraal-Afrika. Midden-Afrika,Hamburg,1878,,IE53912886|IE53915952|IE53917425|IE53918978
9919473050101488,Through the dark continent or The sources of the Nile around the great lakes of equatorial Africa and down the Livingstone river to the Atlantic ocean,UDC 910.4 <67> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Equatoriaal en Centraal Afrikaanse Staten. Centraal-Afrika. Midden-Afrika;UDC 967 Geschiedenis van Centraal en Equatoriaal Afrika,London,1879,,IE53933916|IE53937302
9920144340101488,"Voyage en Allemagne, en Pologne, en Moldavie et en Turquie",KUL #SJ/LH/(09);UDC 910.4 <438> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Polen;UDC 910.4 <43> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Duitsland voor 1945 en na 1989;UDC 910.4 <478.9> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Moldavië;UDC 910.4 <560> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Turkije,Paris,1818,,IE53677186|IE53677190
